symbol,company_name,isin,company_industry,sector,macro_category,basic_industry,listing_date,company_face_value,issued_size,market_cap_category,intrinsic_label,avg_revenue_from_operations,avg_other_income,avg_income,avg_employee_benefit_expense,avg_finance_costs,avg_depreciation_depletion_amortisation_expense,avg_other_expenses,avg_profit_before_tax,avg_tax_expense,avg_profit_loss_for_period,avg_basic_earnings_per_share,avg_diluted_earnings_per_share,avg_comprehensive_income,avg_paid_up_equity_share_capital,avg_face_value_equity_share_capital,avg_open,avg_close,avg_volume,volatility,year_change_percent,sharpe_ratio,avg_high,avg_low,year_start_price,year_end_price,avg_daily_return,avg_vwap_distance,avg_volume_spike,yearly_momentum_score,liquidity_score,stability_score,trend_strength,profit_margin,return_on_equity,debt_to_income,operational_efficiency,earnings_growth,price_stability,risk_adjusted_return,market_cap_numeric,volume_to_market_cap,price_to_earnings,profitability,revenue_to_market_cap,earnings_stability,roi_potential,financial_health,financial_score
IPCALAB,IPCA Laboratories Limited,INE571A01038,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals,1995-02-08,1.0,253704218,Large,IN-M,22309666666.666668,223266666.66666663,22532933333.33333,4943833333.333333,211400000.0,992333333.3333334,6140700000.0,3343800000.0,937966666.6666666,2404166666.6666665,8.8033333333,8.8033333333,2347033333.333333,253700000.0,1.0,1414.98,1414.8,465985,150.1231,0.25,0.1712,1436.47,1392.35,1327.65,1330.95,0.000221,5.6e-05,1.036959,0.0546,9.8413,5.9663,0.0121,0.10776345082101928,9.476415714098016,0.009381823345976557,0.496848899580152,9.251215346209433,0.03974271780958427,0.0428,4,116496.25,160.711851571983,0.10776345082101928,5577416666.666667,1.02143056,0.006222316464023183,1115483333.6733363,8.254148164919036
IRB,IRB Infrastructure Developers Limited,INE821I01022,Civil Construction,Construction,Industrials,Civil Construction,2008-02-25,1.0,6039000000,Large,IN-M,13964340000.0,1707850000.0,15672190000.0,494900000.0,2416246666.6666665,770680000.0,9365326666.666666,18411563333.33333,547156666.6666666,17585326666.666668,2.9133333333,2.9133333333,17410133333.333332,6039000000.0,1.0,58.66,58.43,33408084,8.2471,-31.28,-0.6445,59.63,57.43,65.5,45.01,-0.00113,-0.001609,1.027318,-0.2792,9.8413,4.1645,0.0081,1.2593023849796459,2.911960037533808,0.15417415604753812,0.7061004434628967,2.8829497157366006,0.5049653817705618,20.159959999999998,4,8352021.0,20.056064073456017,1.2593023849796459,3491085000.0,-2.68402025,0.04986023161560842,698216999.5825567,3.444291422513454
IRCON,Ircon International Limited,INE962Y01021,Civil Construction,Construction,Industrials,Civil Construction,2018-09-28,2.0,940515740,Large,IN-S,24491700000.0,894233333.3333334,25385933333.33333,733666666.6666666,522766666.6666667,285833333.3333333,20253066666.666668,2030033333.3333333,533066666.6666667,1720166666.6666667,1.83,1.83,1730500000.0,1881000000.0,2.0,226.45,225.71,10571392,44.961,-31.6,-0.4375,231.47,221.24,218.7,149.6,-0.000948,-0.002814,1.043541,-0.2341,9.8413,3.3276,0.0769,0.0702346781426633,0.9144958355484671,0.020592769223900905,0.8568916544516443,0.9199893673577884,0.07401080936811903,13.825000000000001,4,2642848.0,123.33879781420765,0.0702346781426633,6122925000.0,-1.455825,0.008107748881307874,1224584999.5859444,0.0976205136911304
IRIS,Iris Business Services Limited,INE864K01010,Software Products,Information Technology,Information Technology,Software Products,2021-11-08,10.0,20538117,Micro,,304421333.3333333,5691333.333333333,310112666.6666667,149025333.33333334,1949000.0,5071333.333333333,108801333.33333331,45265666.66666666,10697666.666666666,34568000.0,1.7733333333,1.74,35043333.333333336,197534666.66666663,10.0,151.77,152.54,112677,19.73,36.05,4.9094,157.28,146.27,128.3,174.55,0.016885,-0.000254,0.625046,0.3377,0.8333,3.0964,0.1,0.11355314564025298,0.1749971313052224,0.006284812616489921,0.8469402056798473,0.17740345998339538,0.1569386720729853,176.98386999999997,1,112677.0,86.01879699409808,0.11355314564025298,304421333.3333333,15.201466159999999,0.011625366023993708,60884271.26349753,5.000650276945475
IRISDOREME,Iris Clothings Limited,INE01GN01017,Garments & Apparels,Textiles,Consumer Discretionary,Garments & Apparels,2021-02-22,2.0,95165735,Small,,353565666.6666667,609666.6666666666,354175333.3333333,61422000.0,10368333.333333334,17616666.666666668,39824666.66666666,38972333.333333336,10172666.666666666,28799666.666666668,0.3533333333,0.3533333333,28799666.666666668,163141000.0,2.0,65.77,65.21,221744,9.9153,-39.14,-1.1258,66.86,64.06,78.05,47.5,-0.001716,-0.002326,1.024936,-0.4239,9.8413,3.9908,0.081,0.08145493010727851,0.17653236566324018,0.029274577751509143,0.28635887534328835,0.17653236566324018,0.4024890825290208,44.063812,2,110872.0,184.5566037909959,0.08145493010727851,176782833.33333334,-4.49284264,0.005418391861677657,35356565.34433404,-0.9669657042294812
IRMENERGY,IRM Energy Limited,INE07U701015,LPG/CNG/PNG/LNG Supplier,Oil Gas & Consumable Fuels,Energy,LPG/CNG/PNG/LNG Supplier,2023-10-26,10.0,41059677,Small,,2557953333.333333,84820000.0,2642773333.333333,41593333.333333336,54170000.0,83073333.33333333,502536666.6666667,210890000.0,69250000.0,136043333.33333334,3.3133333333,3.3133333333,135993333.33333334,410597000.0,10.0,405.26,402.78,155827,84.1612,-37.03,-0.8068,412.52,396.23,463.9,292.1,-0.001467,-0.00242,1.034207,-0.3623,9.8413,3.862,0.1336,0.053184446940653086,0.33133055851195536,0.020497406764610916,0.21272084713560063,0.331208784607129,0.04588812897154509,29.875804,2,77913.5,121.5633802829131,0.053184446940653086,1278976666.6666665,-3.1158616,0.008226161510750287,255795332.4161754,-1.2638969945473915
ISGEC,Isgec Heavy Engineering Limited,INE858B01029,Civil Construction,Construction,Industrials,Civil Construction,2021-05-05,1.0,73529510,Mid,IN-Mi,15600800000.0,122400000.0,15723200000.0,1378633333.3333333,131033333.33333331,344400000.0,3766666666.6666665,920600000.0,300766666.6666667,619900000.0,8.0733333333,8.0733333333,613466666.6666666,73500000.0,1.0,1253.49,1253.83,134113,182.7361,3.02,0.3199,1283.76,1225.48,1002.95,1033.2,0.00066,-0.000368,1.033036,0.163,9.8413,3.8886,0.0688,0.03973514178760064,8.434013605442177,0.008333757335232861,0.3298100097430901,8.346485260770974,0.021279867524807632,0.966098,3,44704.333333333336,155.3051197363968,0.03973514178760064,5200266666.666667,1.24396314,0.006438937761339258,1040053333.7197309,6.966287747229778
ITC,ITC Limited,INE154A01025,Diversified FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,1995-08-23,1.0,12514119782,Large,IN-L,208871500000.0,6355666666.666667,215227166666.66663,16320733333.333334,124833333.33333331,4783066666.666667,45006633333.333336,67674100000.0,17603000000.0,50815333333.333336,3.9533333333,3.9466666667,50071100000.0,12501333333.333334,1.0,456.82,456.64,14434538,35.3189,-1.02,0.0493,461.13,452.63,425.9,421.55,4e-05,-0.000296,1.003929,0.0098,9.8413,10.5274,0.004,0.24328514581134017,4.0647930887372015,0.0005800073255931911,0.29361289915889277,4.0052607721843,0.29806704059299693,-0.050286,4,3608634.5,115.50758853385757,0.24328514581134017,52217875000.0,0.5190008199999999,0.008657439850429221,10443575000.230417,4.004189234548541
ITDCEM,ITD Cementation India Limited,INE686A01026,Civil Construction,Construction,Industrials,Civil Construction,1999-02-10,1.0,171787584,Mid,IN-Mi,22057416666.666668,153082000.0,22210498666.666668,1720181333.3333333,556931000.0,469912666.6666667,10700119000.0,1156696000.0,293349333.3333333,864733666.6666666,5.03,5.03,850621666.6666666,171788000.0,1.0,508.18,507.03,1304110,60.9988,56.2,1.1492,517.28,497.84,336.05,524.9,0.002293,-0.001088,1.031553,0.5664,9.8413,3.4772,0.0202,0.039203759884241504,5.033725677385304,0.025075123632223414,0.5630895277098784,4.951577913862823,0.057004400086559076,64.58504,3,434703.3333333333,100.80119284294234,0.039203759884241504,7352472222.222222,3.99599824,0.009920517523617932,1470494445.6569893,5.612141437269546
ITI,ITI Limited,INE248A01017,Telecom - Equipment & Accessories,Telecommunication,Telecommunication,Telecom - Equipment & Accessories,2003-09-15,10.0,960886938,Large,IN-S,8569070666.666667,166211000.0,8735281666.666666,434266000.0,596073333.3333334,134244333.33333334,328309333.3333333,-761036666.6666666,0.0,-701735333.3333334,-0.73,-0.73,-719406000.0,9608889666.666666,10.0,299.03,299.05,8444143,47.3353,75.64,1.4458,308.51,291.7,252.05,442.7,0.003932,-0.004796,1.069162,0.7274,7.381,2.2881,0.0811,-0.0818916497051489,-0.07302980444948393,0.06823744855393903,0.08899160282336332,-0.07486879597500495,0.04833813242970891,109.360312,4,2111035.75,-409.6575342465754,-0.0818916497051489,2142267666.6666667,3.30813498,-0.0024410633673298777,428453534.3007182,0.8175255458453672
