symbol,company_name,isin,company_industry,sector,macro_category,basic_industry,listing_date,company_face_value,issued_size,market_cap_category,intrinsic_label,avg_revenue_from_operations,avg_other_income,avg_income,avg_employee_benefit_expense,avg_profit_loss_for_period,avg_basic_earnings_per_share,avg_open,avg_close,avg_volume,volatility,year_change_percent,sharpe_ratio,beta,avg_daily_return,avg_vwap_distance,liquidity_score,stability_score,trend_strength
SHILPAMED,Shilpa Medicare Limited,INE790G01031,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals,2009-12-03,1.0,97790908,Mid,IN-Mi,3185413666.6666665,51884000.0,3237297666.6666665,739313000.0,212613666.66666663,2.18,707.89,706.79,380532,125.4585,26.15,0.7246,,0.001415,-0.001937,9.8413,4.3841,0.004
SCILAL,Shipping Corporation of India Land and Assets Limited,INE0PB301013,Investment Company,Financial Services,Financial Services,Investment Company,2024-03-19,10.0,465799010,Small,Unknown,44733333.333333336,213133333.3333333,257866666.66666663,1933333.3333333333,116600000.0,0.2533333333,68.79,68.41,2601275,14.5204,-21.58,-0.2445,,-0.000489,-0.004047,9.8413,3.4994,0.0486
SCI,Shipping Corporation Of India Limited,INE109A01011,Shipping,Services,Services,Shipping,1997-08-13,10.0,465799010,Mid,Unknown,14268100000.0,396600000.0,14664700000.0,1350266666.6666667,2179600000.0,4.68,227.23,226.39,4792864,41.0743,-18.51,-0.0966,,-0.000215,-0.003489,9.8413,3.6323,0.1377
SHIVAMILLS,Shiva Mills Limited,INE644Y01017,Other Textile Products,Textiles,Consumer Discretionary,Other Textile Products,2018-02-26,10.0,8641808,Micro,Unknown,427555000.0,1986333.3333333333,429541333.3333333,43601333.333333336,-10143000.0,-1.1733333333,92.53,91.32,44288,7.8896,-17.95,-0.1295,,-0.000271,-0.006783,4.3586,2.775,0.1012
SHIVATEX,Shiva Texyarn Limited,INE705C01020,Other Textile Products,Textiles,Consumer Discretionary,Other Textile Products,2017-12-26,10.0,12962713,Micro,Unknown,770428333.3333334,3227000.0,773655333.3333334,131923000.0,19634000.0,1.5133333333,200.95,198.76,41058,25.5077,13.6,0.5152,,0.001219,-0.005049,3.9592,2.8113,0.0165
SBCL,Shivalik Bimetal Controls Limited,INE386D01027,Iron & Steel Products,Capital Goods,Industrials,Iron & Steel Products,2021-06-24,2.0,57604200,Small,IN-Mi,1253032666.6666667,31526333.33333333,1284559000.0,122685000.0,186679000.0,3.2233333333,562.64,561.29,172647,68.2626,-28.75,-0.5989,,-0.001012,-0.00046,9.8413,4.2881,0.0364
SHIVALIK,Shivalik Rasayan Limited,INE788J01021,Pesticides & Agrochemicals,Chemicals,Commodities,Pesticides & Agrochemicals,2021-12-09,5.0,15560365,Small,Unknown,807928333.3333334,8655333.333333334,816583666.6666666,133963333.33333331,50774000.0,2.7466666667,637.51,636.04,63601,82.4042,2.84,0.3409,,0.000821,-0.002581,6.2592,3.1108,0.085
SHIVAMAUTO,Shivam Autotech Limited,INE637H01024,Auto Components & Equipments,Automobile and Auto Components,Consumer Discretionary,Auto Components & Equipments,2006-11-21,2.0,122222222,Micro,Unknown,1153794333.3333333,6000000.0,1159794666.6666667,138462666.66666666,-110943333.33333331,-0.91,39.72,39.44,404430,6.6763,-37.82,-0.4483,,-0.001377,-0.00696,7.2619,2.9823,0.1484
SHOPERSTOP,Shoppers Stop Limited,INE498B01024,Diversified Retail,Consumer Services,Consumer Discretionary,Diversified Retail,2005-05-23,5.0,110059081,Mid,IN-Mi,11878833333.333334,119466666.66666669,11998300000.0,1060933333.3333334,29733333.33333333,0.27,684.82,683.44,107168,105.4471,-30.84,-0.7469,,-0.001183,-0.001622,9.8413,4.1944,0.0769
SHRADHA,Shradha Infraprojects Limited,INE715Y01015,Residential Commercial Projects,Realty,Consumer Discretionary,Residential Commercial Projects,2020-10-22,2.0,50623480,Micro,Unknown,213245666.66666663,25641333.33333333,238887000.0,1763333.3333333333,48644333.333333336,1.8266666667,85.06,85.15,222812,15.7772,136.12,5.2571,,0.02013,-0.002356,1.9048,2.3034,0.1489
