Symbol,QuartersAvailable,Avg_RevenueFromOperations,Avg_OtherIncome,Avg_Income,Avg_EmployeeBenefitExpense,Avg_FinanceCosts,Avg_DepreciationDepletionAndAmortisationExpense,Avg_OtherExpenses,Avg_Expenses,Avg_ProfitBeforeTax,Avg_TaxExpense,Avg_ProfitLossForPeriod,Avg_BasicEarningsLossPerShareFromContinuingOperations,Avg_DilutedEarningsLossPerShareFromContinuingOperations,Avg_ComprehensiveIncomeForThePeriod,Avg_PaidUpValueOfEquityShareCapital,Avg_FaceValueOfEquityShareCapital,Avg_DilutedEarningsLossPerShare,AvailableQuarters
MAGNUM,3,922853000.0,3288666.6666666665,926141666.6666666,124789666.66666667,79740333.33333333,113964333.33333333,80565333.33333333,934869666.6666666,-7989000.0,-21660666.666666668,13671666.666666666,0.17333333333333326,0.17333333333333326,13671666.666666666,651571333.3333334,10.0,,"first,second,third"
MAHABANK,3,,8246933333.333333,68969500000.0,,,,,,,531900000.0,,,,,72847633333.33333,10.0,,"first,second,third"
MAHAPEXLTD,3,3542333.3333333335,21046000.0,24588333.333333332,4747000.0,55000.0,94000.0,3134333.3333333335,8030333.333333333,20536333.333333332,421000.0,-9146000.0,-0.6500000000000004,-0.6500000000000004,-8666000.0,140919000.0,10.0,,"first,second,third"
MAHASTEEL,3,1885305000.0,621666.6666666666,1885926666.6666667,33200000.0,9309666.666666666,19477333.333333332,284507333.3333333,1877423666.6666667,10016000.0,3333000.0,7312666.666666667,0.44333333333333336,0.44333333333333336,7312666.666666667,164344000.0,10.0,,"first,second,third"
MAHEPC,3,589266666.6666666,2933333.3333333335,592200000.0,78333333.33333333,5066666.666666667,8066666.666666667,221733333.33333334,587933333.3333334,4266666.666666667,1066666.6666666667,3200000.0,0.11333333333333336,0.11333333333333336,3000000.0,279300000.0,10.0,,"first,second,third"
MAHESHWARI,3,2380386333.3333335,7346000.0,2387732333.3333335,49351666.666666664,82747333.33333333,39507666.666666664,324651666.6666667,2336564666.6666665,51167666.666666664,17176000.0,33992000.0,1.1666666666666667,1.1666666666666667,37479666.666666664,295972000.0,10.0,,"first,second,third"
MAHLIFE,3,1210100000.0,151333333.33333334,1361433333.3333333,284633333.3333333,57533333.333333336,41033333.333333336,304600000.0,1690966666.6666667,-329533333.3333333,25600000.0,-79133333.33333333,-0.51,-0.51,-79133333.33333333,1550633333.3333333,10.0,,"first,second,third"
MAHLOG,3,15117733333.333334,45500000.0,15163233333.333334,1026566666.6666666,202200000.0,559766666.6666666,13403333333.333334,15191866666.666666,-28633333.333333332,53633333.333333336,-82366666.66666667,-1.3466666666666667,-1.3466666666666667,-83033333.33333333,720500000.0,10.0,,"first,second,third"
MAHSCOOTER,3,588933333.3333334,5900000.0,594833333.3333334,9733333.333333334,0.0,4933333.333333333,13400000.0,37133333.333333336,510766666.6666667,-31633333.333333332,542400000.0,47.46666666666667,47.46666666666667,-1728266666.6666667,114300000.0,10.0,,"first,second,third"
MAHSEAMLES,3,12836333333.333334,524166666.6666667,13360500000.0,305600000.0,7533333.333333333,251766666.66666666,2214400000.0,10978666666.666666,2381833333.3333335,554233333.3333334,1783533333.3333333,13.32,13.32,1788266666.6666667,670000000.0,5.0,,"first,second,third"
MAITHANALL,3,4567933333.333333,2790866666.6666665,7358800000.0,137933333.33333334,45066666.666666664,56633333.333333336,1447600000.0,4336133333.333333,3022666666.6666665,725766666.6666666,2296900000.0,79.14333333333333,79.14333333333333,2297233333.3333335,291100000.0,10.0,,"first,second,third"
MALLCOM,3,1150403333.3333333,11213333.333333334,1161616666.6666667,44578333.333333336,11905666.666666666,21466666.666666668,254768000.0,1034523333.3333334,127093333.33333333,35449333.333333336,91644000.0,14.686666666666667,14.686666666666667,93610666.66666667,62400000.0,10.0,,"first,second,third"
MALUPAPER,3,616168333.3333334,1293666.6666666667,617462000.0,25042333.333333332,26368666.666666668,12927666.666666666,161494666.66666666,660339000.0,-42877000.0,-11833333.333333334,-31043666.666666668,-1.8166666666666664,-1.8166666666666664,-31043666.666666668,170593000.0,10.0,,"first,second,third"
MANAKALUCO,3,1240247666.6666667,2066000.0,1242313666.6666667,40915666.666666664,69247333.33333333,20400000.0,234604333.33333334,1224993666.6666667,17320000.0,3825333.3333333335,13494666.666666666,0.20666666666666667,0.20666666666666667,13494666.666666666,65534000.0,1.0,,"first,second,third"
MANAKCOAT,3,1912474333.3333333,20218000.0,1932692333.3333333,39587000.0,83623000.0,23050666.666666668,246261333.33333334,1890474333.3333333,46251333.333333336,11735000.0,34516333.333333336,0.4633333333333334,0.4633333333333334,35959333.333333336,74269000.0,1.0,,"first,second,third"
MANAKSIA,3,1541640000.0,153843333.33333334,1695483333.3333333,88495666.66666667,34576000.0,13731666.666666666,193643333.33333334,1458102000.0,224327333.33333334,68842666.66666667,155484666.66666666,2.2600000000000002,2.2600000000000002,39252000.0,131068000.0,2.0,,"first,second,third"
MANAKSTEEL,3,1433708333.3333333,38947666.666666664,1472656000.0,53538666.666666664,16918333.333333332,15268333.333333334,147301000.0,1446488666.6666667,23742333.333333332,6933666.666666667,16808666.666666668,0.25666666666666665,0.25666666666666665,-21584333.333333332,65534000.0,1.0,,"first,second,third"
MANALIPETC,3,2222533333.3333335,55066666.666666664,2277600000.0,180433333.33333334,25666666.666666668,66566666.666666664,457766666.6666667,2190600000.0,87000000.0,25366666.666666668,61633333.333333336,0.36000000000000004,0.36000000000000004,103000000.0,860331333.3333334,5.0,,"first,second,third"
MANAPPURAM,3,22711066666.666668,29133333.333333332,22740200000.0,3907800000.0,7916733333.333333,619366666.6666666,1470700000.0,17000000000.0,5806133333.333333,1502400000.0,4303733333.333333,5.083333333333333,5.083333333333333,4537233333.333333,1692900000.0,2.0,,"first,second,third"
MANBA,3,608255000.0,125333.33333333333,608380333.3333334,122003666.66666667,262758333.33333334,11216333.333333334,48556000.0,478682666.6666667,129697666.66666667,30436333.333333332,99261333.33333333,1.3166666666666667,1.3166666666666667,99757333.33333333,460494000.0,10.0,,"first,second,third"
MANGALAM,3,817305333.3333334,974000.0,818279333.3333334,100279000.0,36341666.666666664,39676000.0,191469666.66666666,807775000.0,10504333.333333334,-11700000.0,22204333.333333332,1.4033333333333333,1.4033333333333333,44409000.0,527713788000.0,10.0,,"first,second,third"
