symbol,company_name,isin,company_industry,sector,macro_category,basic_industry,listing_date,company_face_value,issued_size,market_cap_category,intrinsic_label,avg_revenue_from_operations,avg_other_income,avg_income,avg_employee_benefit_expense,avg_finance_costs,avg_depreciation_depletion_amortisation_expense,avg_other_expenses,avg_profit_before_tax,avg_tax_expense,avg_profit_loss_for_period,avg_basic_earnings_per_share,avg_diluted_earnings_per_share,avg_comprehensive_income,avg_paid_up_equity_share_capital,avg_face_value_equity_share_capital,avg_open,avg_close,avg_volume,volatility,year_change_percent,sharpe_ratio,avg_high,avg_low,year_start_price,year_end_price,avg_daily_return,avg_vwap_distance,avg_volume_spike,yearly_momentum_score,liquidity_score,stability_score,trend_strength
RADIOCITY,Music Broadcast Limited,INE919I01024,Media & Entertainment,Media Entertainment & Publication,Consumer Discretionary,Media & Entertainment,2017-03-17,2.0,345685625,Micro,Unknown,599368666.6666666,66187333.333333336,665556000.0,196615333.3333333,28523000.0,86426000.0,325754000.0,28237666.666666668,14276666.666666666,13961000.0,0.0366666667,0.0366666667,13786666.666666666,691371000.0,2.0,14.08,13.97,469418,2.5643,-40.73,-1.401,14.33,13.72,16.35,9.69,-0.001887,-0.002608,1.047581,-0.4662,9.8413,4.2146,0.1093
MUTHOOTCAP,Muthoot Capital Services Limited,INE296G01013,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Non Banking Financial Company (NBFC),2015-08-24,10.0,16447533,Small,Unknown,1114460000.0,5939666.666666667,1120399666.6666667,232192666.66666663,519784333.3333333,9471000.0,171058333.33333334,178068333.33333334,46976333.333333336,131092000.0,7.97,10.16,134561666.66666666,164475000.0,10.0,319.35,318.01,50430,37.4558,-16.41,-0.237,325.78,312.51,300.4,251.09,-0.000388,-0.002888,0.997907,-0.0959,4.963,4.7895,0.004
MUTHOOTFIN,Muthoot Finance Limited,INE414G01012,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Non Banking Financial Company (NBFC),2011-05-06,10.0,401463891,Large,IN-M,48641386666.66666,263780000.0,48905166666.66666,5426286666.666667,17670280000.0,270916666.6666667,3686933333.3333335,17779343333.333332,4751236666.666667,13028106666.666666,32.0066666667,32.0066666667,12984186666.666666,4014640000.0,10.0,1966.23,1964.47,635447,201.7343,22.41,0.8708,1992.2,1936.19,1647.7,2017.0,0.000977,-0.00029,0.99822,0.2413,9.8413,6.3806,0.0931
MUTHOOTMF,Muthoot Microfin Limited,INE046W01019,Microfinance Institutions,Financial Services,Financial Services,Microfinance Institutions,2023-12-26,10.0,170492176,Small,Unknown,6617491000.0,15196666.666666666,6632687666.666667,1328863000.0,2384107333.333333,105513000.0,378164333.3333333,776036000.0,180603666.66666663,595432333.3333334,3.49,3.49,658768666.6666666,1704923333.3333333,10.0,200.8,199.98,236109,38.016,-41.3,-1.698,203.47,197.68,229.5,134.72,-0.001984,-0.00218,1.020819,-0.49,9.8413,6.1993,0.1255
NRAIL,N R Agarwal Industries Limited,INE740D01017,Paper & Paper Products,Forest Materials,Commodities,Paper & Paper Products,2017-04-05,10.0,17019100,Small,Unknown,3977654333.3333335,100892333.33333331,4078546666.6666665,244162000.0,150485333.33333334,164053000.0,1009837000.0,64313333.333333336,-17254666.666666668,81568000.0,4.7933333333,4.7933333333,78722333.33333333,170191000.0,10.0,382.89,379.38,16704,78.2063,-48.9,-1.3437,390.14,372.76,472.45,241.41,-0.002336,-0.003071,1.045314,-0.5771,1.644,3.3314,0.1296
NBIFIN,N. B. I. Industrial Finance Company Limited,INE365I01020,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Non Banking Financial Company (NBFC),2016-11-23,5.0,2954850,Small,Unknown,21495000.0,164333.3333333333,21659333.33333333,4448000.0,3000.0,333.3333333333,2648666.6666666665,14559333.333333334,2662000.0,11897333.333333334,4.8433333333,4.7666666667,-15724333.333333334,12284000.0,5.0,2211.36,2199.29,1858,380.141,31.2,1.1855,2253.73,2147.26,1793.25,2352.7,0.003388,-0.001276,1.093549,0.4168,0.0914,3.2229,0.0569
NACLIND,NACL Industries Limited,INE295D01020,Pesticides & Agrochemicals,Chemicals,Commodities,Pesticides & Agrochemicals,2017-04-07,1.0,199439176,Small,Unknown,3443633333.333333,24733333.33333333,3468366666.6666665,360100000.0,170000000.0,70033333.33333333,557100000.0,-178666666.66666666,-38033333.333333336,-140433333.33333334,-0.7033333333,-0.7033333333,-141866666.66666666,199400000.0,1.0,66.44,66.51,607955,17.2149,166.79,1.9648,68.22,64.91,61.45,163.94,0.004658,-0.001457,0.995912,1.1506,9.8413,2.7072,0.0526
NDGL,Naga Dhunseri Group Limited,INE756C01015,Investment Company,Financial Services,Financial Services,Investment Company,2016-08-29,10.0,1000000,Micro,Unknown,48514333.333333336,0.0,48514333.333333336,2688333.333333333,1175333.3333333333,1301333.3333333333,1966333.3333333333,42593333.333333336,16964000.0,132849000.0,132.85,132.85,379895000.0,10000000.0,10.0,3175.46,3156.92,888,923.5752,76.39,2.0935,3267.7,3067.28,2369.75,4180.05,0.008578,-0.004382,1.060054,0.7892,0.0328,2.2909,0.0
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,INE454M01024,Fertilizers,Chemicals,Commodities,Fertilizers,2016-06-15,1.0,598065003,Small,Unknown,2344062666.6666665,8704520333.333334,11048583000.0,85125666.66666667,195842666.66666663,27609000.0,1092597666.6666667,8162929000.0,44195666.66666666,8118733333.333333,-0.0833333333,-0.0833333333,8118733333.333333,598065000.0,1.0,10.03,9.94,1643748,1.8384,-57.91,-1.4379,10.24,9.77,10.05,4.23,-0.003056,-0.005327,1.015565,-0.7303,9.5238,2.8588,0.1715
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,INE245I01016,Investment Company,Financial Services,Financial Services,Investment Company,2007-09-18,5.0,12615300,Micro,Unknown,137346000.0,0.0,137346000.0,510333.3333333333,13955333.333333334,109333.3333333333,1843000.0,49257666.66666666,12479000.0,36778666.66666666,2.9166666667,2.9166666667,36760666.66666666,63077000.0,5.0,25.71,25.25,10015,4.9484,20.7,1.0216,26.18,24.55,20.1,24.26,0.002693,-0.002306,1.094844,0.2855,0.4253,2.8076,0.0283
